run_id,provider,example_id,locale,copies,earlier_prediction,later_prediction,earlier_confidence,later_confidence,predictions_agree,earlier_request_id,later_request_id,earlier_latency_ms,later_latency_ms,raw_rows,selected_raw_row
0fa1ec36488a,jev,12987,en-US,2,general_quirky,general_quirky,0.91,0.92,True,req_01a0d04adaf57a08a98135be5425a8b3,req_01a0d09c7ca1709e9bf1e7d0f21baa50,244.39758299922687,122.89962499926332,2180;6280,6280
0fa1ec36488a,jev,13067,en-US,2,qa_factoid,general_quirky,0.55,0.54,False,req_01a0d04ad3b97943b6f6ac114dc2de5e,req_01a0d09c7889729bb55f2e2d9cf8c80f,513.2356249996519,402.4887920022593,2100;6200,6200
0fa1ec36488a,jev,13150,en-US,2,general_quirky,general_quirky,0.97,0.94,True,req_01a0d04adbce7086ae7f3f7db5f84206,req_01a0d09c7d187aa08062ef52df314298,294.39045899925986,203.97366700490238,2190;6290,6290
0fa1ec36488a,jev,13175,en-US,2,qa_factoid,qa_factoid,0.88,0.9,True,req_01a0d04ad5ba77e294f2a0059f99d0ea,req_01a0d09c79f87470b2eef0d765af7746,126.68529099755688,109.18200000014622,2127;6227,6227
0fa1ec36488a,jev,13297,en-US,2,qa_factoid,qa_factoid,0.93,0.92,True,req_01a0d04ada0a7018bd1321fcb3f77406,req_01a0d09c7c4270f1aabf8152141c3e28,229.25854200002505,174.15887500101235,2171;6271,6271
0fa1ec36488a,jev,13363,en-US,2,general_quirky,general_quirky,0.66,0.67,True,req_01a0d04adb8773b48732aef35eb210b3,req_01a0d09c7cf879699adea8aaf2132e6d,255.40966599874082,189.72108400339494,2186;6286,6286
0fa1ec36488a,jev,13451,en-US,2,general_quirky,general_quirky,1.0,1.0,True,req_01a0d04ad448798ca46bdffe3ae78505,req_01a0d09c786b74eab0e6b228216cbe18,254.88250000125845,289.0733340027509,2110;6210,6210
0fa1ec36488a,jev,13491,en-US,2,qa_factoid,qa_factoid,0.59,0.54,True,req_01a0d04adbae710f9a194b794dbb579e,req_01a0d09c7d127c8ab3c15f016d981aaf,271.45404199836776,217.54150000197114,2189;6289,6289
0fa1ec36488a,jev,13616,en-US,2,qa_factoid,qa_factoid,0.85,0.88,True,req_01a0d04ad7097d70926b4c10d7cec6df,req_01a0d09c7a677aef9223334fd89eb418,491.95849999887287,168.31475000071805,2138;6238,6238
0fa1ec36488a,jev,13681,en-US,2,qa_factoid,qa_factoid,1.0,1.0,True,req_01a0d04ad5fa746baf2707973de9d55c,req_01a0d09c7a0e7353bb46c90e67777efc,249.44808300278964,185.90612499974668,2128;6228,6228
0fa1ec36488a,jev,13693,en-US,2,qa_factoid,qa_factoid,1.0,1.0,True,req_01a0d04ada0575588be14627587fca1a,req_01a0d09c7bfa7c0fbfefdaf01c95941f,296.66720800014446,110.90820800018264,2168;6268,6268
0fa1ec36488a,jev,13854,en-US,2,qa_factoid,qa_factoid,1.0,1.0,True,req_01a0d04ad5b5786a95d543928807df4d,req_01a0d09c79fa7145b0c7ee8db7ec3880,369.53566699958174,140.07520800078055,2126;6226,6226
0fa1ec36488a,jev,1401,en-US,2,general_quirky,general_quirky,0.99,0.99,True,req_01a0d04ada89779ebd985df47bf9335a,req_01a0d09c7bf67e878afa7493822d8b82,488.9635420004197,68.37129199993797,2169;6269,6269
0fa1ec36488a,jev,14011,en-US,2,qa_factoid,qa_factoid,1.0,1.0,True,req_01a0d04adc7c77b1a2e92390522404b3,req_01a0d09c7d6e7081b0a107ff6c991700,97.88220900009037,129.6603749942733,2196;6296,6296
